address,admin_name,external_id,facility_name,latitude,longitude,manager,operation_status,phone
충청남도 아산시 신창면 남성리121-5,충청남도 아산시,,충청남도 아산시 신창면 남성리121-5,36.787537,126.958091,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 신창면 남성리119-5,충청남도 아산시,,충청남도 아산시 신창면 남성리119-5,36.787721,126.957441,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 신창면 읍내리308-3,충청남도 아산시,,충청남도 아산시 신창면 읍내리308-3,36.77980283,126.9336546,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 신창면 읍내리253-4,충청남도 아산시,,충청남도 아산시 신창면 읍내리253-4,,126.935274,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 염치읍 송곡리244-18,충청남도 아산시,,충청남도 아산시 염치읍 송곡리244-18,36.800037,,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 염치읍 79-31,충청남도 아산시,,충청남도 아산시 염치읍 79-31,36.800046,,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 염치읍 중방리117-1,충청남도 아산시,,충청남도 아산시 염치읍 중방리117-1,36.820409,126.952582,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 염치읍 송곡리 53-4,충청남도 아산시,,충청남도 아산시 염치읍 송곡리 53-4,36.808515,127.018639,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 염치읍 염성리178,충청남도 아산시,,충청남도 아산시 염치읍 염성리178,36.80805483,126.9875917,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 장재리1601,충청남도 아산시,,충청남도 아산시 배방읍 장재리1601,36.785287,127.098923,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 공수리141-8,충청남도 아산시,,충청남도 아산시 배방읍 공수리141-8,36.77459481,127.0568112,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 공수리176-35,충청남도 아산시,,충청남도 아산시 배방읍 공수리176-35,36.76936862,127.0512154,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 공수리448-3,충청남도 아산시,,충청남도 아산시 배방읍 공수리448-3,36.76210095,127.0565164,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 신흥리205-6,충청남도 아산시,,충청남도 아산시 배방읍 신흥리205-6,36.75155366,127.0388968,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 신흥리203-2,충청남도 아산시,,충청남도 아산시 배방읍 신흥리203-2,36.75296244,127.0364451,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 휴대리156,충청남도 아산시,,충청남도 아산시 배방읍 휴대리156,36.78028543,127.113551,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 장재리2052,충청남도 아산시,,충청남도 아산시 배방읍 장재리2052,36.79273902,127.0923333,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 북수리927,충청남도 아산시,,충청남도 아산시 배방읍 북수리927,36.77135124,127.0647504,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 북수리299-2,충청남도 아산시,,충청남도 아산시 배방읍 북수리299-2,36.767498,127.078482,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 북수리산1-5,충청남도 아산시,,충청남도 아산시 배방읍 북수리산1-5,36.768814,127.076511,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 장재리1431,충청남도 아산시,,충청남도 아산시 배방읍 장재리1431,36.786325,,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 공수리319,충청남도 아산시,,충청남도 아산시 배방읍 공수리319,36.769628,127.056846,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 구령리659,충청남도 아산시,,충청남도 아산시 배방읍 구령리659,36.781236,127.040328,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 공수리176-35,충청남도 아산시,,충청남도 아산시 배방읍 공수리176-35,36.77045004,127.0510341,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 북수리738-4,충청남도 아산시,,충청남도 아산시 배방읍 북수리738-4,36.770278,127.066375,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 북수리1164,충청남도 아산시,,충청남도 아산시 배방읍 북수리1164,36.7708364,127.0669285,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 갈매리67,충청남도 아산시,,충청남도 아산시 배방읍 갈매리67,36.767331,127.080607,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 북수리1137,충청남도 아산시,,충청남도 아산시 배방읍 북수리1137,36.77200791,127.0668203,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 선장면 군덕리418-21,충청남도 아산시,,충청남도 아산시 선장면 군덕리418-21,36.789822,126.863625,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 선장면 군덕리76-2,충청남도 아산시,,충청남도 아산시 선장면 군덕리76-2,36.787607,126.863769,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 선장면 군덕리377-12,충청남도 아산시,,충청남도 아산시 선장면 군덕리377-12,36.788478,126.863086,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 송악면 역촌리353-1,충청남도 아산시,,충청남도 아산시 송악면 역촌리353-1,36.72111103,127.0037443,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 송악면 송학리272-1,충청남도 아산시,,충청남도 아산시 송악면 송학리272-1,36.691202,126.989093,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 송악면 역촌리53-15,충청남도 아산시,,충청남도 아산시 송악면 역촌리53-15,,127.010532,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 신창면 창암리34-11,충청남도 아산시,,충청남도 아산시 신창면 창암리34-11,36.759517,126.965045,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 신창면 읍내리304,충청남도 아산시,,충청남도 아산시 신창면 읍내리304,36.779095,126.932403,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 신창면 읍내리703,충청남도 아산시,,충청남도 아산시 신창면 읍내리703,36.7791266,126.9329495,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 신창면 오목리307-11,충청남도 아산시,,충청남도 아산시 신창면 오목리307-11,36.80779262,126.9279797,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 신창면 창암리34-3,충청남도 아산시,,충청남도 아산시 신창면 창암리34-3,36.760778,126.963906,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 신창면 창암리158-1,충청남도 아산시,,충청남도 아산시 신창면 창암리158-1,36.761355,126.946261,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 신창면 오목리269-2,충청남도 아산시,,충청남도 아산시 신창면 오목리269-2,36.799638,126.929215,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 신창면 남성리119-2,충청남도 아산시,,충청남도 아산시 신창면 남성리119-2,36.78832647,126.9559898,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 인주면 냉정리144-9,충청남도 아산시,,충청남도 아산시 인주면 냉정리144-9,36.859142,126.914207,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 인주면 밀두리296-1,충청남도 아산시,,충청남도 아산시 인주면 밀두리296-1,36.87018208,126.8817949,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 도고면 기곡리317-5,충청남도 아산시,,충청남도 아산시 도고면 기곡리317-5,36.76012054,126.884117,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 도고면 신언리 63-3,충청남도 아산시,,충청남도 아산시 도고면 신언리 63-3,36.75684416,126.8765851,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 둔포면 송용리183-13,충청남도 아산시,,충청남도 아산시 둔포면 송용리183-13,36.90949414,127.0271469,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 둔포면 석곡리1446,충청남도 아산시,,충청남도 아산시 둔포면 석곡리1446,36.921742,127.059633,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 둔포면 석곡리1796,충청남도 아산시,,충청남도 아산시 둔포면 석곡리1796,36.925407,127.054757,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 둔포면 석곡리1804,충청남도 아산시,,충청남도 아산시 둔포면 석곡리1804,36.921875,127.054604,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 갈매리457,충청남도 아산시,,충청남도 아산시 배방읍 갈매리457,,127.095577,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 휴대리8,충청남도 아산시,,충청남도 아산시 배방읍 휴대리8,36.77431036,127.1187047,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 휴대리 95-2,충청남도 아산시,,충청남도 아산시 배방읍 휴대리 95-2,36.776717,127.116154,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 신창면 가내리66,충청남도 아산시,,충청남도 아산시 신창면 가내리66,36.7987307,126.9011578,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 염치읍 곡교리203-17,충청남도 아산시,,충청남도 아산시 염치읍 곡교리203-17,36.80732185,126.9812855,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 염치읍 송곡리 73-8,충청남도 아산시,,충청남도 아산시 염치읍 송곡리 73-8,36.8017239,127.0173712,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 염치읍 송곡리112-94,충청남도 아산시,,충청남도 아산시 염치읍 송곡리112-94,36.8018864,127.0151106,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 염치읍 송곡리112-373,충청남도 아산시,,충청남도 아산시 염치읍 송곡리112-373,36.800241,127.013765,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 영인면 월선리170-5,충청남도 아산시,,충청남도 아산시 영인면 월선리170-5,36.878884,126.931138,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 온천동 834,충청남도 아산시,,충청남도 아산시 온천동 834,36.77839306,126.9996583,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 온천동 169-6,충청남도 아산시,,충청남도 아산시 온천동 169-6,36.77829393,126.9982021,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 권곡동 170-6,충청남도 아산시,,충청남도 아산시 권곡동 170-6,36.78743027,127.0152534,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 모종동 587-6,충청남도 아산시,,충청남도 아산시 모종동 587-6,36.780341,127.016238,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 모종동 554-3,충청남도 아산시,,충청남도 아산시 모종동 554-3,36.78664627,127.0154997,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 모종동 554-9,충청남도 아산시,,충청남도 아산시 모종동 554-9,36.78653147,127.0147631,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 모종동 585-17,충청남도 아산시,,충청남도 아산시 모종동 585-17,36.78091495,127.0171397,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 신동 632-26,충청남도 아산시,,충청남도 아산시 신동 632-26,36.78106034,127.0328344,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 권곡동 443-54,충청남도 아산시,,충청남도 아산시 권곡동 443-54,36.7885079,127.0065709,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 모종동 338-3,충청남도 아산시,,충청남도 아산시 모종동 338-3,,127.021609,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 권곡동 862,충청남도 아산시,,충청남도 아산시 권곡동 862,36.789588,127.020027,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 방축동 119-1,충청남도 아산시,,충청남도 아산시 방축동 119-1,36.78295706,126.9939673,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 방축동 134-34,충청남도 아산시,,충청남도 아산시 방축동 134-34,36.785907,126.990178,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 실옥동 183-153,충청남도 아산시,,충청남도 아산시 실옥동 183-153,,126.994707,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 실옥동 185-17,충청남도 아산시,,충청남도 아산시 실옥동 185-17,36.78672802,126.9907741,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 용화동 41,충청남도 아산시,,충청남도 아산시 용화동 41,36.77593521,127.0035761,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 온천동 134-6,충청남도 아산시,,충청남도 아산시 온천동 134-6,36.7798032,127.0051642,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 온천동 203-11,충청남도 아산시,,충청남도 아산시 온천동 203-11,,126.998758,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 온천동 199-63,충청남도 아산시,,충청남도 아산시 온천동 199-63,36.78082382,127.0001456,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 온천동 69-10,충청남도 아산시,,충청남도 아산시 온천동 69-10,36.78117292,127.0045538,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 온천동 707,충청남도 아산시,,충청남도 아산시 온천동 707,36.77813623,127.0016523,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 권곡동 552-30,충청남도 아산시,,충청남도 아산시 권곡동 552-30,36.78517824,127.0071868,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 권곡동 528-6,충청남도 아산시,,충청남도 아산시 권곡동 528-6,36.78964065,127.011752,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 신동 161-17,충청남도 아산시,,충청남도 아산시 신동 161-17,36.78019704,127.0345395,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 모종동 361-23,충청남도 아산시,,충청남도 아산시 모종동 361-23,36.78660076,127.0186394,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 권곡동 536-48,충청남도 아산시,,충청남도 아산시 권곡동 536-48,36.78855257,127.0116153,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 방축동 118-161,충청남도 아산시,,충청남도 아산시 방축동 118-161,36.781608,126.994011,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 실옥동 181-147,충청남도 아산시,,충청남도 아산시 실옥동 181-147,36.78706834,126.9928607,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 실옥동 185-15,충청남도 아산시,,충청남도 아산시 실옥동 185-15,36.787615,126.990704,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 용화동 34-55,충청남도 아산시,,충청남도 아산시 용화동 34-55,36.77648712,127.0043659,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 용화동 1490,충청남도 아산시,,충청남도 아산시 용화동 1490,36.77121977,127.0097813,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 용화동 42-3,충청남도 아산시,,충청남도 아산시 용화동 42-3,36.77529987,127.0051135,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 용화동 1350,충청남도 아산시,,충청남도 아산시 용화동 1350,36.77309671,127.0030131,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 용화동 941,충청남도 아산시,,충청남도 아산시 용화동 941,36.770972,126.996049,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 용화동 178-3,충청남도 아산시,,충청남도 아산시 용화동 178-3,36.767112,126.996264,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 용화동 372-23,충청남도 아산시,,충청남도 아산시 용화동 372-23,36.773906,126.993412,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 용화동 35-46,충청남도 아산시,,충청남도 아산시 용화동 35-46,36.776429,127.003048,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 좌부동 140-3,충청남도 아산시,,충청남도 아산시 좌부동 140-3,36.75607148,127.0273587,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 풍기동 269,충청남도 아산시,,충청남도 아산시 풍기동 269,36.77192147,127.0193807,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 풍기동 211-6,충청남도 아산시,,충청남도 아산시 풍기동 211-6,36.77778808,127.0171614,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 풍기동 229-76,충청남도 아산시,,충청남도 아산시 풍기동 229-76,36.77540712,127.0153714,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 음봉면 쌍암리210-6,충청남도 아산시,,충청남도 아산시 음봉면 쌍암리210-6,36.884706,127.082153,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 음봉면 삼거리283-2,충청남도 아산시,,충청남도 아산시 음봉면 삼거리283-2,36.848326,127.011097,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 인주면 공세리130-9,충청남도 아산시,,충청남도 아산시 인주면 공세리130-9,36.880332,,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 둔포면 둔포리415-12,충청남도 아산시,,충청남도 아산시 둔포면 둔포리415-12,36.92709395,127.0383124,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 공수리68-27,충청남도 아산시,,충청남도 아산시 배방읍 공수리68-27,36.775273,127.060419,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 중리359,충청남도 아산시,,충청남도 아산시 배방읍 중리359,36.74845133,127.0395867,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 휴대리67,충청남도 아산시,,충청남도 아산시 배방읍 휴대리67,36.7746098,127.1166105,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 장재리1203,충청남도 아산시,,충청남도 아산시 배방읍 장재리1203,36.79340067,127.0931941,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 갈매리100-4,충청남도 아산시,,충청남도 아산시 배방읍 갈매리100-4,36.76472671,127.0847733,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 공수리282-4,충청남도 아산시,,충청남도 아산시 배방읍 공수리282-4,36.77307166,127.0573506,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 공수리293-1,충청남도 아산시,,충청남도 아산시 배방읍 공수리293-1,36.76876346,127.0591059,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 공수리102-24,충청남도 아산시,,충청남도 아산시 배방읍 공수리102-24,36.77578853,127.0618445,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 북수리1345,충청남도 아산시,,충청남도 아산시 배방읍 북수리1345,36.77476127,127.0699535,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 북수리1337,충청남도 아산시,,충청남도 아산시 배방읍 북수리1337,36.77369267,127.0711104,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 북수리1073,충청남도 아산시,,충청남도 아산시 배방읍 북수리1073,36.77339716,127.0680873,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 북수리1145,충청남도 아산시,,충청남도 아산시 배방읍 북수리1145,36.77176151,127.0682987,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 북수리1084,충청남도 아산시,,충청남도 아산시 배방읍 북수리1084,36.77290461,127.0666671,충청남도 아산시,2020-10-06,041-530-6595
충청남도 아산시 배방읍 북수리398-1,충청남도 아산시,,충청남도 아산시 배방읍 북수리398-1,36.767576,,충청남도 아산시,2020-10-06,041-530-6595
