detail_location,holiday_time,latitude,longitude,manager,phone,restriction_id,restriction_type,road_name,saturday_time,weekday_time
상아아파트 입구 감속차선,00:00,,,충청남도 아산시,041-540-2953,,03,온천대로,00:00,08:00
주은아파트 입구 감속차선,00:00,,,충청남도 아산시,041-540-2953,,03,어의정로,00:00,08:00
배방중학교 앞,00:00,,,충청남도 아산시,041-540-2953,,03,북수중앙로,00:00,08:00
신영모닝빌 앞,00:00,,,충청남도 아산시,041-540-2953,,03,윤보선로450번길,00:00,08:00
남산터널 남북방향용화동사거리 ~ 남산터널 ~ 야외음악당 입구,00:00,,,충청남도 아산시,041-540-2953,,03,남부로,00:00,08:00
외암로(간선도로) 송악사거리 ~ 풍기사거리 ~ 읍내사거리,00:00,,,충청남도 아산시,041-540-2953,,03,외암로,00:00,08:00
충무교차로 ~ 배방 1교차로 ~ 용곡생태터널(간선도로),00:00,,,충청남도 아산시,041-540-2953,,03,곡교천로,00:00,08:00
용화동삼거리 ~ 용화중 앞 ~ 풍기사거리(간선도로),00:00,,,충청남도 아산시,041-540-2953,,03,어의정로,00:00,08:00
일원상업지구내(삼영프라자 앞),00:00,,,충청남도 아산시,041-540-2953,,03,배방로,00:00,08:00
둔포행복신협 ~ 남부빌라승강장,00:00,,,충청남도 아산시,041-540-2953,,03,둔포중앙로161번길,00:00,08:00
신리초교 입구 ~ 신동교,00:00,,,충청남도 아산시,041-540-2953,,03,모종로42번길,00:00,08:00
배방역 맞은편 국도변+ T-스테이션카센터앞,00:00,,,충청남도 아산시,041-540-2953,,03,모산로139번길,00:00,08:00
동천교회 ~ 권곡우체국 ~ 모종부동산사거리,00:00,,,충청남도 아산시,041-540-2953,,03,삼동로,00:00,08:00
인주공단 진입교차로,00:00,,,충청남도 아산시,041-540-2953,,03,인주산단로,00:00,08:00
초이스아구찜 옆 도로,00:00,,,충청남도 아산시,041-540-2953,,03,남부로,00:00,08:00
아산시티타워 주변,00:00,,,충청남도 아산시,041-540-2953,,03,용연로,00:00,08:00
설화중 앞 사거리 ~ 고속철도대로입구,00:00,,,충청남도 아산시,041-540-2953,,03,연화로,00:00,08:00
천안아산상생협력센터 ~ 국도21호 입구,00:00,,,충청남도 아산시,041-540-2953,,03,공원로,00:00,08:00
메디포스빌딩 ↔ 동신초,00:00,,,충청남도 아산시,041-540-2953,,03,번영로234번길,00:00,08:00
