Total: 134
ID: 296 | Title: 건축법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 262 | Title: 도로법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 287 | Title: 수도법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 290 | Title: 하천법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 269 | Title: 주차장법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 284 | Title: 하수도법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 266 | Title: 도로교통법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 340 | Title: 동물보호법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 322 | Title: 식품위생법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 275 | Title: 악취방지법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 246 | Title: 지방자치법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 236 | Title: 행정절차법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 301 | Title: 건축물관리법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 281 | Title: 물환경보전법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 293 | Title: 소하천정비법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 857 | Title: 장애인복지법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 259 | Title: 폐기물관리법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 254 | Title: 행정대집행법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 311 | Title: 공동주택관리법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 325 | Title: 공중위생관리법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 278 | Title: 대기환경보전법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 352 | Title: 화학물질관리법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 355 | Title: 위험물안전관리법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 252 | Title: 질서위반행위규제법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 309 | Title: 부도공공건설임대주택 임차인 보호를 위한 특별법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 310 | Title: 부도공공건설임대주택 임차인 보호를 위한 특별법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 253 | Title: 질서위반행위규제법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 356 | Title: 위험물안전관리법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 357 | Title: 위험물안전관리법 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 312 | Title: 공동주택관리법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 326 | Title: 공중위생관리법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 279 | Title: 대기환경보전법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
